Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1984,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
1985,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1985,3,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,***,0,0,0,0,0
1985,4,0,0,0,***,***,0,***,0,20,***,0,0,0,***,***,***,32,***,***,***,0,0,0,0,0,0,0,16,0,0,
1985,5,90,0,13,11,42,51,8,0,0,0,0,0,1,0,0,52,0,0,0,0,0,1,10,6,172,5,8,4,0,0,0
1985,6,0,11,0,17,1,29,***,89,7,8,3,8,16,34,98,***,53,0,5,6,4,5,***,2,8,3,***,96,96,53,
1985,7,***,12,13,14,***,42,38,45,174,137,17,0,0,122,***,10,1,8,16,13,2,38,6,4,26,36,8,12,0,3,10
1985,8,0,9,0,14,8,5,73,24,***,0,0,0,0,***,3,3,2,16,49,54,4,130,50,***,15,56,12,2,0,0,1
1985,9,5,107,12,35,0,0,0,0,4,0,5,0,0,0,8,0,2,0,1,2,0,0,6,7,12,35,17,1,0,0,
1985,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,***,9,23,0,***,***,11,0,0,0,0,1,0,0,0,0,0
1985,11,0,0,0,0,0,0,0,***,***,0,0,0,0,0,0,0,0,97,96,156,1,0,0,0,0,0,0,0,0,0,
1985,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0
1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,4,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,14,2,0,0,0,7,2,10,0,0,
1986,5,0,0,0,0,7,13,24,2,7,0,0,0,0,3,10,15,3,16,0,0,0,0,0,0,0,0,28,0,2,0,11
